HouseholdSurvey.earninc_hihsp,HouseholdSurvey.hihage,HouseholdSurvey.hihgender,HouseholdSurvey.hihecon,HouseholdSurvey.specon,HouseholdSurvey.age_1,HouseholdSurvey.hhwork,HouseholdSurvey.hedqual8,HouseholdSurvey.nssec2,HouseholdSurvey.seg,HouseholdSurvey.tothinc,HouseholdSurvey.ha7_1,HouseholdSurvey.hb509,HouseholdSurvey.save1,HouseholdSurvey.credit109a,HouseholdSurvey.credit309c,HouseholdSurvey.hcost_amt,HouseholdSurvey.hk2
42000,34,1,2,3,6,3,3,2,6,8,3,2,NA,NA,NA,NA,1
0,59,1,10,NA,12,2,6,9,17,3,10,4,NA,NA,NA,300,4
0,57,1,5,5,12,5,4,9,17,NA,5,2,NA,NA,NA,NA,1
62000,46,1,2,2,10,3,4,1,5,8,2,1,NA,NA,NA,320,1
0,34,1,6,NA,7,2,1,9,17,3,6,4,NA,NA,NA,530,4
0,55,1,5,NA,11,2,4,9,17,NA,5,2,NA,NA,NA,NA,1
0,29,1,8,6,5,5,6,9,17,NA,6,4,NA,NA,NA,650,3
16000,27,2,3,NA,6,1,4,2,5,4,3,4,NA,NA,NA,750,2
26000,33,2,2,NA,6,1,6,4,12,6,2,4,NA,NA,NA,500,3
0,19,1,8,NA,4,2,2,9,17,7,8,1,5,0,0,560,2
0,19,1,11,11,4,5,6,9,17,3,11,4,NA,NA,NA,400,6
40000,34,1,2,2,7,3,4,2,5,7,2,1,4,0,0,350,2
48000,49,1,2,4,11,4,1,1,5,8,4,4,NA,NA,NA,650,3
